Finds No,Unit No,Object,Completeness,Condition,Conservation?,Length (rivet/nail; mm),Diam (head_top; mm),Diam (head_base),Length (rove/strap; mm),width (rove/strap; mm),rove shape,head type,shaft type,length (between heads/staple ends; mm),Draw/Photo,Shaft diam (mm),Weight (g),Notes,Neat rivet hole,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
3682,1109,nail,complete,moderate verdigris,TRUE,47,18,,,,,flat (square),forged,,FALSE,5,6.17,Square sectioned shaft,FALSE,S21.1,1650,1690,1650-1690,1630-1690,School Room
8713,1309,nail,near complete,light verdigris,TRUE,,9,,,,,domed,rolled,,FALSE,,0.49,domed hexagonal head; shaft absent,FALSE,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
18136,1309,nail,complete,moderate verdigris,FALSE,17,5,,,,,flat (irreg),rolled,,FALSE,2,1.08,nail is bent,FALSE,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
7263,1319,nail,complete,moderate verdigris,TRUE,26,12,,,,,domed,rolled,,FALSE,3,3.08,,FALSE,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
7267,1323,nail,complete,light verdigris,TRUE,26,6,,,,,flat (irreg),rolled,,FALSE,3,1.06,,FALSE,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
7290,1359,nail,complete,light verdigris,TRUE,16,8,,,,,flat (hex),rolled,,FALSE,3,1.18,,FALSE,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
7298,1362,nail,complete,light verdigris,TRUE,24,4,,,,,flat (irreg),rolled,,FALSE,3,0.62,made by rolling a sheet of copper,FALSE,S18.8,1790,1830,1790-1830,1780-1840,Midden
7352,1478,nail,near complete,moderate verdigris,TRUE,30,,,,,,,rolled,,FALSE,4,2.76,rolled sheet but however square sectioned. Head absent. Bent and looks like a hook,FALSE,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
7355,1479,nail,fragment,light verdigris,TRUE,7,,,,,,,forged,,FALSE,3,0.32,shaft fragment; square sectioned,FALSE,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
7356,1490,nail,complete,light verdigris,TRUE,15,8,,,,,flat (irreg),rolled,,FALSE,3,0.83,head leans to one side; shaft not made by rolling of sheet,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18139,1490,nail,fragment,moderate verdigris,FALSE,6,4,,,,,flat (irreg),rolled,,FALSE,1,0.19,part of shaft absent,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7363,1505,nail,complete,light verdigris,TRUE,18,6,,,,,flat (irreg),rolled,,FALSE,2,0.59,,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
8726,1506,nail,complete,light verdigris,TRUE,26,9,,,,,flat (irreg),rolled,,FALSE,3,1.52,,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7387,1576,nail,complete,light verdigris,TRUE,20,7,,,,,flat (irreg),rolled,,FALSE,3,0.77,,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7388,1579,nail,complete,light verdigris,TRUE,17,13,,,,,domed,rolled,,FALSE,2,1.71,possibly a rivet,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7398,1595,nail,fragment,moderate verdigris,TRUE,29,,,,,,,rolled,,FALSE,3,0.42,shaft fragment.,FALSE,S18.7,1770,1790,1770-1790,1750-1810,Pantry
7411,1627,nail,fragment,light verdigris,TRUE,,9,,,,,domed,rolled,,FALSE,,0.2,head of a mount?,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7414,1627,nail,fragment,light verdigris,TRUE,9,11,,,,,flat (irreg),rolled,,FALSE,3,0.85,shaft end missing; head bent,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7425,1627,nail,near complete,moderate verdigris,TRUE,21,8,,,,,domed,rolled,,FALSE,2,0.96,,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18372,1627,nail,fragment,heavy verdigris,FALSE,8,4,,,,,flat (irreg),rolled,,FALSE,3,0.2,part of shaft missing - possibly ID 80 is the shaft (in the same bag but not attached).,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18372,1627,nail,fragment,moderate verdigris,FALSE,16,,,,,,,rolled,,FALSE,2,0.18,shaft fragm; possibly same as ID 79,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7434,1630,nail,complete,light verdigris,TRUE,33,5,,,,,flat (irreg),rolled,,FALSE,3,1.11,,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
8468,1644,nail,complete,light verdigris,FALSE,17,3,,,,,flat (irreg),rolled,,FALSE,3,0.44,,FALSE,S18.6,1760,1770,1760-1770,1750-1780,Pantry
7462,1679,nail,near complete,light verdigris,TRUE,23,10,,,,,flat (irreg),rolled,,FALSE,3,1.11,", made by rolling of sheet",FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
10162,1799,nail,near complete,light verdigris,TRUE,15,,,,,,,rolled,,FALSE,1,0.19,head absent; shaft flattens towards where it should be,FALSE,S5.1,1720,1740,1720-1740,1720-1750,Bishops Dining Room
10174,1861,nail,near complete,moderate verdigris,FALSE,25,9,,,,,flat (irreg),rolled,,FALSE,1,1.08,,FALSE,S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
10180,1901,nail,near complete,light verdigris,TRUE,24,11,,,,,flat (irreg),rolled,,FALSE,3,1.57,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10181,1903,nail,complete,moderate verdigris,FALSE,34,8,,,,,flat (irreg),forged,,FALSE,3,2.01,square sectioned shaft,FALSE,S31.2,1700,1720,1700-1720,1690-1720,Bishops Dining Room
10189,1915,nail,complete,light verdigris,TRUE,44,15,,,,,flat (irreg),forged,,FALSE,4,4.1,square sectioned shaft,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10193,1928,nail,complete,light verdigris,TRUE,30,9,,,,,flat (irreg),forged,,FALSE,3,3.71,square sectioned; bent,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10193,1928,nail,complete,light verdigris,TRUE,34,9,,,,,flat (irreg),rolled,,FALSE,5,2.12,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10193,1928,nail,complete,moderate verdigris,TRUE,26,7,,,,,flat (irreg),forged,,FALSE,4,2.76,square sectioned,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18919,1945,nail,complete,moderate verdigris,FALSE,26,3,,,,,flat (irreg),rolled,,FALSE,2,0.84,,FALSE,S17.7,1770,1790,1770-1790,1750-1810,Meat Store
18919,1945,nail,complete,moderate verdigris,FALSE,27,3,,,,,flat (irreg),rolled,,FALSE,2,0.57,,FALSE,S17.7,1770,1790,1770-1790,1750-1810,Meat Store
18919,1945,nail,complete,moderate verdigris,FALSE,30,3,,,,,flat (irreg),rolled,,FALSE,2,0.75,,FALSE,S17.7,1770,1790,1770-1790,1750-1810,Meat Store
10207,2014,nail,complete,moderate verdigris,FALSE,28,10,,,,,flat (irreg),forged,,FALSE,4,1.37,square sectioned shaft,FALSE,S18.5,1740,1760,1740-1760,1720-1780,Pantry
19347,2016,nail,complete,light verdigris,TRUE,29,23,,,,,,rolled,,FALSE,3,2.17,mount with a diamond shaped decorated head; could be interpreted as a nail and a rove,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10220,2072,nail,near complete,light verdigris,TRUE,34,10,,,,,flat (irreg),rolled,,FALSE,4,1.85,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10230,2118,nail,near complete,light verdigris,FALSE,24,2,,,,,flat (irreg),rolled,,FALSE,1,0.5,,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10231,2119,nail,fragment,moderate verdigris,FALSE,,5,,,,,flat (irreg),rolled,,FALSE,,0.37,head only; shaft absent,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10232,2121,nail,near complete,moderate verdigris,TRUE,12,4,,,,,flat (irreg),rolled,,FALSE,1,0.11,,FALSE,S6.2,1760,1800,1760-1800,1750-1810,Bishops Living Quarters
10237,2128,nail,complete,light verdigris,TRUE,19,9,,,,,flat (irreg),rolled,,FALSE,2,2.24,Wood attached; possibly a rivet,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10241,2135,nail,complete,light verdigris,TRUE,15,5,,,,,flat (irreg),rolled,,FALSE,2,0.47,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10246,2139,nail,near complete,moderate verdigris,TRUE,18,6,,,,,flat (irreg),rolled,,FALSE,2,0.63,head bends off to one side; shaft end cooked,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10247,2146,nail,complete,light verdigris,TRUE,39,8,,,,,flat (irreg),rolled,,FALSE,3,2.98,"Representative, slim nail",FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10253,2185,nail,complete,light verdigris,TRUE,21,12,,,,,flat (irreg),rolled,,FALSE,4,2.59,rivet?,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10253,2185,nail,near complete,light verdigris,TRUE,22,6,,,,,flat (irreg),rolled,,FALSE,2,0.62,bent shaft,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10263,2200,nail,complete,light verdigris,TRUE,20,9,,,,,flat (irreg),rolled,,FALSE,3,1.34,,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10271,2215,nail,complete,light verdigris,TRUE,23,9,,,,,flat (irreg),rolled,,FALSE,2,0.8,head slides to one side,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10271,2215,nail,complete,light verdigris,TRUE,23,10,,,,,flat (irreg),rolled,,FALSE,3,1.38,,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10273,2215,nail,complete,light verdigris,TRUE,24,4,,,,,flat (irreg),rolled,,FALSE,2,0.68,nail bent,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
15557,2220,nail,near complete,light verdigris,FALSE,31,6,,,,,flat (irreg),rolled,,FALSE,4,1.56,"fragment missing from shaft, ID 187 is most likely that fragment",FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
15557,2220,nail,fragment,light verdigris,FALSE,17,,,,,,,rolled,,FALSE,2,0.82,most likely a shaft fragment from ID 186,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10280,2240,nail,complete,light verdigris,TRUE,19,5,,,,,flat (irreg),rolled,,FALSE,3,0.87,,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10284,2251,nail,near complete,moderate verdigris,TRUE,32,,,,,,,rolled,,FALSE,4,1.72,head absent,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10295,2301,nail,complete,light verdigris,FALSE,32,4,,,,,flat (irreg),forged,,FALSE,3,2.26,square sectioned shaft,FALSE,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
10304,2319,nail,near complete,light verdigris,TRUE,23,,,,,,,rolled,,FALSE,4,0.84,"head absent, clipped off?",FALSE,S18.3,1690,1700,1690-1700,1690-1720,Pantry
10332,2396,nail,near complete,heavy verdigris,FALSE,33,15,,,,,domed,rolled,,FALSE,1,2.59,,FALSE,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
10338,2411,nail,complete,moderate verdigris,TRUE,31,11,,,,,flat (irreg),forged,,FALSE,5,2.32,square sectioned shaft,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10338,2411,nail,near complete,moderate verdigris,TRUE,27,,,,,,,rolled,,FALSE,3,0.83,head absent,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10341,2415,nail,fragment,light verdigris,FALSE,9,,,,,,,rolled,,FALSE,2,0.14,shaft end and head absent,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10341,2415,nail,complete,light verdigris,TRUE,30,9,,,,,flat (irreg),forged,,FALSE,4,2.12,bent; square sectioned shaft,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10341,2415,nail,complete,light verdigris,TRUE,37,19,,,,,flat (irreg),forged,,FALSE,4,388,square sectioned shaft,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10341,2415,nail,complete,light verdigris,TRUE,40,13,,,,,flat (irreg),forged,,FALSE,5,3.21,square sectioned folded shaft,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10341,2415,nail,near complete,light verdigris,TRUE,26,,,,,,,forged,,FALSE,3,1.01,head absent; square sectioned,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18193,2415,nail,fragment,moderate verdigris,FALSE,,11,,,,,flat (irreg),rolled,,FALSE,,0.63,nail head,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18193,2415,nail,complete,moderate verdigris,FALSE,24,15,,,,,flat (irreg),rolled,,FALSE,3,2.05,nail has folded together. Head bends off to one side.,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18193,2415,nail,fragment,moderate verdigris,FALSE,25,,,,,,,rolled,,FALSE,4,1.53,shaft,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18193,2415,nail,fragment,moderate verdigris,FALSE,16,,,,,,,rolled,,FALSE,5,0.64,shaft fragment,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18193,2415,nail,fragment,moderate verdigris,FALSE,14,,,,,,,rolled,,FALSE,4,0.4,head missing; shaft flattens toward head end; pointy end bends inwards,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10346,2420,nail,fragment,light verdigris,FALSE,46,,,,,,,rolled,,FALSE,2,2.06,bent and shaped like a hook; head absent,FALSE,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
10349,2423,nail,complete,light verdigris,TRUE,28,12,,,,,flat (irreg),rolled,,FALSE,4,2.11,,FALSE,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10352,2425,nail,near complete,heavy verdigris,FALSE,16,6,,,,,flat (irreg),rolled,,FALSE,3,1.89,,FALSE,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
10358,2449,nail,complete,light verdigris,FALSE,44,7,,,,,flat (irreg),rolled,,FALSE,3,1.72,,FALSE,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10358,2449,nail,complete,light verdigris,FALSE,21,7,,,,,flat (irreg),rolled,,FALSE,3,0.67,,FALSE,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10358,2449,nail,complete,light verdigris,FALSE,14,8,,,,,flat (irreg),rolled,,FALSE,1,,,FALSE,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10365,2461,nail,complete,moderate verdigris,TRUE,24,13,,,,,flat (irreg),forged,,FALSE,4,2.2,square sectioned shaft,FALSE,S18.2,1680,1690,1680-1690,1660-1690,Pantry
10368,2467,nail,complete,light verdigris,FALSE,18,3,,,,,flat (irreg),rolled,,FALSE,2,0.27,,FALSE,S8.1,1720,1750,1720-1750,1720-1750,Nursery
19349,2467,nail,fragment,light verdigris,FALSE,13,,,,,,,rolled,,FALSE,2,0.36,head absent; rivet?,FALSE,S8.1,1720,1750,1720-1750,1720-1750,Nursery
10375,2471,nail,complete,light verdigris,TRUE,35,7,,,,,flat (irreg),rolled,,FALSE,3,2.07,,FALSE,S8.1,1720,1750,1720-1750,1720-1750,Nursery
13864,2641,nail,complete,light verdigris,TRUE,26,10,,,,,domed,rolled,,FALSE,2,1.29,,FALSE,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
14938,2689,nail,fragment,heavy verdigris,FALSE,41,,,,,,,rolled,,FALSE,3,0.76,head absent,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
17006,2690,nail,near complete,light verdigris,FALSE,35,,,,,,,rolled,,FALSE,5,2.54,head missing; textile/wood attached,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
17005,2691,nail,near complete,moderate verdigris,FALSE,27,10,,,,,flat (irreg),rolled,,FALSE,4,1.7,textile attached,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
13781,2693,nail,fragment,light verdigris,TRUE,,7,,,,,domed,rolled,,FALSE,,0.14,only head,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14905,2694,nail,near complete,light verdigris,TRUE,42,7,,,,,flat (irreg),forged,,FALSE,3,4.12,substantial square sectioned shaft that seems to be folded from a sheet; shaft end missing,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14908,2695,nail,complete,light verdigris,TRUE,132,6,,,,,flat (irreg),rolled,,FALSE,4,4.66,,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
13837,2734,nail,near complete,light verdigris,TRUE,12,13,,,,,domed,rolled,,FALSE,3,1.83,part of shaft absent,FALSE,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
17011,2751,nail,complete,light verdigris,TRUE,27,6,,,,,flat (irreg),rolled,,FALSE,2,0.75,,FALSE,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
14913,2872,nail,near complete,light verdigris,TRUE,16,5,,,,,flat (irreg),rolled,,FALSE,3,0.7,crooked end,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14913,2872,nail,fragment,light verdigris,TRUE,19,,,,,,,rolled,,FALSE,2,0.23,"has some weird fungus-like thing at it's top, textile?; head absent",FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14913,2872,nail,fragment,light verdigris,TRUE,,6,,,,,flat (irreg),rolled,,FALSE,2,0.31,shaft mostly absent; head possibly has a hexagonal shape,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14970,2872,nail,near complete,moderate verdigris,TRUE,16,8,,,,,domed,rolled,,FALSE,3,1.09,,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
16960,2945,nail,fragment,heavy verdigris,FALSE,10,9,,,,,flat (irreg),rolled,,FALSE,3,0.72,shaft missing; textile/wood attached?,FALSE,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
14937,2973,nail,fragment,moderate verdigris,TRUE,30,,,,,,,rolled,,FALSE,2,0.31,shaft; head absent; slightly bent,FALSE,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
7278,1346,nail,complete,moderate,FALSE,30,,,,,,,rolled,,FALSE,,0.9,"rolled sheet, tapering to point, slighlty flanged head",FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7312,1391,nail,complete,light,FALSE,28,,,,,,,rolled,,FALSE,,0.6,sheet rolled into a point with a an open flange at the other end; unused nail - head ready for flattening,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
7415,1627,nail,near complete,moderate,FALSE,12,,,,,,,rolled,,FALSE,,0.4,"rolled sheet, pinched head; small tack, tip broken",FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7415,1627,nail,near complete,moderate,FALSE,8,,,,,,,rolled,,FALSE,,0.3,"rolled sheet, flattened head; small tack, tip broken",FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7415,1627,nail,near complete,moderate,FALSE,15,,,,,,,rolled,,FALSE,,0.2,"rolled sheet, head missing/broken",FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7415,1627,nail,near complete,moderate,FALSE,11,,,,,,,rolled,,FALSE,,0.5,"rolled sheet, head and tip broken/missing",FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
10291,2274,nail,near complete,moderate,FALSE,30,,,,,,,rolled,,FALSE,,0.9,"rolled sheet, pointed end, head missing; hollow shaft",FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
15542,2538,nail,fragment,moderate,FALSE,20,,,,,,,rolled,,FALSE,,0.6,rolled sheet tapered to a point; nail shaft frag,FALSE,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
7278,1346,nail/chape,complete,light,FALSE,41,,,,,,,rolled,,FALSE,,1.9,"rolled sheet, tapering to point,no head - either snapped off or not used/flattened",FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
10205,2005,nail/chape,near complete,moderate,FALSE,30,,,,,,,rolled,,FALSE,,1.2,"sheet rolled into shaft, hollow; tapered to a point one end (other end broken)- nail rather than chape?",FALSE,S18.5,1740,1760,1740-1760,1720-1780,Pantry
10360,2449,nail/chape,complete,moderate,FALSE,25,,,,,,,rolled,,FALSE,,1,"rolled sheet, tapering to point, top folded over; unused nail or discarded lace chape",FALSE,S18.2,1680,1690,1680-1690,1660-1690,Pantry
551,65,repair rivet,near complete,moderate verdigris,TRUE,21,16,9,,,,flat (irreg),,,FALSE,,2.37,only head of rivet present/measureable; double metal sheet attached; repair strap,FALSE,S4.5,1840,1890,1840-1890,1840-1900,Pantry/Kitchen
19088,289,repair rivet,near complete,moderate verdigris,FALSE,1,4,4,19,9,,flat (irreg),,,FALSE,,0.81,double sheet attached,FALSE,S10.4,1800,1880,1800-1880,1780-1900,Kitchen
3645,984,repair rivet,near complete,moderate verdigris,TRUE,6,12,8,,,,flat (irreg),,,FALSE,,5.02,meta attached; possibly a rove,FALSE,S21.2,1690,1750,1690-1750,1690-1750,School Room
3728,988,repair rivet,near complete,light verdigris,TRUE,5,7,7,,,,flat (irreg),,1,FALSE,3,0.62,,FALSE,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
3717,1011,repair rivet,fragment,light verdigris,TRUE,9,5,,,,,flat (irreg),,,FALSE,3,1.08,"Metal sheet attached, possibly rove",FALSE,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
7382,1546,repair rivet,fragment,moderate verdigris,TRUE,14,4,,,,,flat (irreg),,,FALSE,4,1.14,metal attached possibly a rove,FALSE,S10.3,1760,1800,1760-1800,1750-1810,Kitchen
7402,1617,repair rivet,near complete,moderate verdigris,TRUE,6,12,10,,,,flat (irreg),,1,FALSE,,6.53,distinctly heavy; attached to a metal plate.,FALSE,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
7406,1627,repair rivet,fragment,heavy verdigris,TRUE,4,3,,,,,flat (irreg),,,FALSE,1,0.29,,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7409,1627,repair rivet,fragment,heavy verdigris,TRUE,2,3,,,,,flat (irreg),,,FALSE,2,0.68,"metal attached, possibly a rove. Rivet very squished",FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
