ID,Find No,Button  No,Context No,Photo/Drawing,Material,Completeness,Composition,Joning (composite),Condition,Attachment,Shape,Size,Number of holes,Hole alignment,Decoration method,hole profile,Shank-type,Colour,Decoration design,Gilt,Backstampe,Note,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,2046,440,1,n,ceramic (prosser),complete,button,,good,sew-through,curved disc,1,4,regular,undecorated,vertical,,white,,,,"similar as button nr 437 and 439, 451, 460",LH,,1958,1958,1930-1960,Levelling Horizon
2,6534,451,1208,n,ceramic (prosser),complete,button,,good,sew-through,curved disc,1,4,regular,undecorated,vertical,,white,,,,"similar as button nr 437, 439, 440,460",S3.1,1760,1890,1760-1890,1750-1900,Pantry/Stores
3,8731,460,1,n,ceramic (prosser),complete,button,,good,sew-through,curved disc,1,4,regular,undecorated,vertical,,white,,,,"similar as button nr 437, 439, 440, 451",LH,,1958,1958,1930-1960,Levelling Horizon
4,8731,461,1,n,glass,complete,button,,good,sew-through,curved disc,1.1,,regular,undecorated,vertical,,white,,,,,LH,,1958,1958,1930-1960,Levelling Horizon
5,6462,453,759,n,glass,complete,button,,good,sew-through,flat disc,1.3,,regular,undecorated,vertical,,white,,,,,T1.3,2002,2007,2002-2007,1990-2020,FSÍ Excavation
6,8758,463,1475,y,glass,incomplete,button,,good,sew-through,flat disc,1.6,,regular,undecorated,vertical,,clear,,,,the button is damged,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
7,6473,,879,,glass,complete,button,,good,shanked,domed,1.3,,,painted,,,black,,,,"black glass, spherical/domed with white and yellow enamel 6-point star pattern; iron shank, too corroded to ID",S21.2,1690,1750,1690-1750,1690-1750,School Room
8,6485,,945,,glass,complete,button,,good,shanked,domed,1.2,,,painted,,,black,,,,"black glass, spherical/domed with white enamel 6-point star (same patern as 6473 but all white; shank broken off",S21.2,1690,1750,1690-1750,1690-1750,School Room
9,6512,,1011,,glass,fragment,button,,good,shanked,domed,1.2,,,painted,,,black,,,,"broken in half, same type as 6473 but with ?gold instead of yellow; shank missing",S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
10,2923,401,459,y,glass,complete,button,,good,shanked,spherical,1,,,undecorated,,soldered (omega),black,,,,,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
11,12351,464,2308,n,glass,complete,button,,good,shanked,spherical,1.1,,,undecorated,,soldered (omega),black,,,,,S18.3,1690,1700,1690-1700,1690-1720,Pantry
12,8745,462,1412,y,glass,complete,button,,good,,curved disc,0.9,,,painted,,,,dark central dot with six dark dots around like flower,,,,S18.8,1790,1830,1790-1830,1780-1840,Midden
13,659,,19,,bone,complete,button,,good,sew-through,flat disc,1.6,4,regular,undecorated,vertical,,,,,,"sew-through type, disc-shaped with 4 holes and centre compass point for edge circle; whitened - calcined? Holes regular and vertical x-section",MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
14,1011,496,164,y,bone,complete,button,,good,sew-through,flat disc,1.6,4,irregular,carved,vertical,,,"circle around the holes, small dot in the central",,,,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
15,1305,533,244,y,bone,complete,button,,poor,sew-through,flat disc,1.7,5,irregular,carved,vertical,,,circle on the edge,,,,S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
16,1311,519,248,n,bone,incomplete,button,,very poor,sew-through,flat disc,1.6,5,regular,undecorated,vertical,,,,,,,S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
17,1442,500,298,n,bone,incomplete,button,,poor,sew-through,flat disc,1.5,5,,undecorated,vertical,,,,,,only half button so only 2 holes are visible - most likley they where 5; hand made,S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
18,2095,498,354,y,bone,complete,button,,good,sew-through,flat disc,1.8,4,regular,undecorated,vertical,,,the edge is liltbit rounded,,,,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
19,4336,538,956,y,bone,complete,button,,good,sew-through,flat disc,1.7,4,irregular,carved,conical,,,circle on the edge,,,there are one larger hole in the center and three around it,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
20,6877,525,1581,n,bone,incomplete,button,,poor,shanked,curved disc,1.9,1,,undecorated,,integral,,,,,one-piece shanked bone button with flying saucer profile; shank broken off - check sirry original,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
21,8766,469,1527,y,bone,complete,button core,,good,shanked,curved disc,2,1,regular,carved,vertical,,,circle in the middle of the button,,,,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
22,4345,523,854,y,bone,complete,button,,good,shanked,curved disc,2.4,,,carved,,integral,,on the edge is a circle,,,,S30.3,1740,1750,1740-1750,1720-1750,School Master's House
23,4375,541,1229,y,bone,complete,button,,good,shanked,curved disc,2.2,1,,carved,vertical,integral,,central boss with dent in the middle of the button,,,,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
24,6864,479,1384,y,bone,complete,button,,good,shanked,curved disc,2,,,undecorated,,integral,,concave center,,,,S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
25,6867,478,1384,n,bone,complete,button,,good,shanked,curved disc,2.5,,,undecorated,,integral,,,,,"one-piece shanked bone button with slightly convex/domed upper, flat back - check sirry original",S7.3,1800,1840,1800-1840,1780-1840,Vestibule & Corridor
26,6524,455,1066,y,bone,complete,button,,good,shanked,domed,2.2,1,regular,carved,vertical,integral,blackish,central boss with cirlce on the middle of the button and on the edge,,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
27,13355,,2872,,bone,complete,button/core,,good,,,0.8,,,,,,,,,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
28,2541,,502,,bone/horn,fragment,button/core,,good,,flat disc,,,,,,,,,,,"just 1/4 of the button; flat disc, uncertain if shanked or sew-through; turned",S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
29,1289,,230,,bone/horn,fragment,button/core,,good,,,1.2,,,,,,,,,,turned,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
30,667,,123,,bone/horn?,complete,button core,,,shanked,domed,2,,,,,,,,,,"button core, domed with flat back; faint traces of woven textile/wire impression on top",S29.1,1780,1800,1780-1800,1780-1810,Infirmary
31,10373,,2470,,bone/horn?,complete,button core,,good,shanked,,1.7,,,,,,,,,,base part of button with ?copper with shank - broken off. Prob part of composite button,S8.1,1720,1750,1720-1750,1720-1750,Nursery
32,3565,,230,,bone?,complete,button core,,,shanked,,2.9,,,,,,,,,,"large, thick disc with slightly convex top and bottom; poss button core",S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
33,1047,437,1,n,ceramic (prosser),complete,button,,good,sew-through,curved disc,1,4,regular,undecorated,vertical,,white,,,,"similar as button nr 439 and 440, 451, 460",LH,,1958,1958,1930-1960,Levelling Horizon
34,1047,438,1,n,ceramic (prosser),complete,button,,good,sew-through,curved disc,1,4,regular,moulded,vertical,,white,out from the holes are lines,,,,LH,,1958,1958,1930-1960,Levelling Horizon
35,1165,439,174,n,ceramic (prosser),complete,button,,good,sew-through,curved disc,1,4,regular,undecorated,vertical,,white,,,,"similar as button nr 437 and 440, 451, 460",T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
36,13820,392,2840,y,glass,complete,stud,,good,,curved disc,1.6,,,inlaid,,,orange,"glass ""stone"" like dimond in the center and around that is nine glass dots, with metal decoration on the edge",,,same stud as nr 394,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
37,13823,394,2872,y,glass,complete,stud,,good,,curved disc,1.7,,,inlaid,,,clear,"glass ""stone"" like dimond in the center and around that is nine glass dots, with metal decoration on the edge",,,same stud as nr 392,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
38,1031,513,1,y,glass,complete,button,,good,,domed,1.4,,,undecorated,,,clear,clerar,,,most likley that it has been insert in a button,LH,,1958,1958,1930-1960,Levelling Horizon
39,1126,441,174,y,glass,complete,button,,good,,flat disc,1.5,,,moulded,,,"silver, black",double cross over the hole button - same as 442,,,,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
40,1166,442,174,y,glass,complete,button,,good,,flat disc,1.5,,,moulded,,,"silver, black",double cross over the hole button - same as 441,,,,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
41,6497,450,958,y,glass,complete,button,,good,,flat disc,1.1,,,painted,,,"blue, black, white, dark red, green","multiple color as blue, black, white, dark red, green",,,,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
42,666,465,116,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
43,668,466,125,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S21.4,1770,1790,1770-1790,1750-1810,School Room
44,668,467,125,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S21.4,1770,1790,1770-1790,1750-1810,School Room
45,1088,407,1,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,LH,,1958,1958,1930-1960,Levelling Horizon
46,1197,405,194,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
47,1197,406,194,y,glass,complete,button,,good,,spherical,1.2,,,painted,,,"black, yellowe, white",yellowe dot in the center with six white pointed leaf and yellowe dots between,,,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
48,1493,429,283,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
49,1502,420,279,y,glass,complete,button,,good,,spherical,1.4,,,painted,,,"black, yellowe, white",yellowe dot in the center with six white pointed leaf and yellowe dots between,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
50,1566,427,284,n,glass,complete,button,,good,,spherical,1.3,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
51,1566,428,284,n,glass,incomplete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
52,2361,402,427,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
53,2361,403,427,n,glass,incomplete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,probably same button as nr 404 - but dose´n fitt together,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
54,2361,404,427,n,glass,incomplete,button,,good,,spherical,,,,undecorated,,,black,,,,probably same button as nr 403 - but dose´n fitt together,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
55,2407,425,462,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
56,2414,426,360,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
57,2442,424,444,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
58,2460,421,488,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
59,2460,422,488,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
60,2489,423,353,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
61,2760,419,581,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
62,2801,436,547,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
63,2813,418,601,n,glass,complete,button,,good,,spherical,0.8,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
64,2837,415,616,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
65,3020,416,677,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
66,3025,417,672,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
67,3152,400,716,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
68,3178,397,687,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
69,3185,398,391,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
70,3199,399,698,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
71,3225,433,659,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
72,3225,434,659,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
73,3241,432,653,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
74,3254,431,722,n,glass,complete,button,,good,,spherical,1.3,,,undecorated,,,black,,,,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
75,3308,413,668,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,possible has his button been in fire?,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
76,3337,411,664,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
77,3370,412,615,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
78,3398,414,617,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
79,3406,410,672,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
80,3479,408,193,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
81,3482,409,395,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
82,3483,435,419,n,glass,incomplete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
83,3484,430,445,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
84,3485,396,553,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
85,6474,443,881,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S21.2,1690,1750,1690-1750,1690-1750,School Room
86,6480,444,909,n,glass,complete,button,,good,,spherical,1.3,,,undecorated,,,black,,,,,S21.1,1650,1690,1650-1690,1630-1690,School Room
87,6484,731,931,n,glass,complete,stud,,good,,spherical,1.2,,,undecorated,,,,,,,,S21.2,1690,1750,1690-1750,1690-1750,School Room
88,6484,732,931,n,glass,complete,stud,,good,,spherical,1.1,,,undecorated,,,,,,,,S21.2,1690,1750,1690-1750,1690-1750,School Room
89,6484,733,931,n,glass,complete,stud,,good,,spherical,1,,,undecorated,,,,,,,,S21.2,1690,1750,1690-1750,1690-1750,School Room
90,6508,447,1004,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,MA.1,1870,1910,1870-1910,1870-1930,Midden Zone A
91,6521,445,1045,n,glass,incomplete,button,,good,,spherical,1.2,,,painted,,,"black, yellowe, white",yellowe dot in the center with six white pointed leaf and yellowe dots between,,,,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
92,6526,446,1094,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
93,6529,448,1131,n,glass,complete,button,,good,,spherical,1,,,undecorated,,,black,,,,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
94,8742,457,1382,n,glass,incomplete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
95,8761,459,1479,n,glass,complete,button,,good,,spherical,1.1,,,undecorated,,,black,,,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
96,8769,458,1577,n,glass,complete,button,,good,,spherical,1.2,,,undecorated,,,black,,,,,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
97,10270,295,2215,y,glass,complete,stud,,good,,spherical,1.1,,,moulded,,,clear/yellowish,decoration on the edge and glass on that which has dimond shape - raised,,,,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
98,10270,296,2215,y,glass,complete,stud,,good,,spherical,1.1,,,,,,clear,the glass is like flower shape with central boss - raised,,,,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
99,15411,730,2866,n,glass,complete,stud,,good,,spherical,1.3,,,uncertain,,,,some dots but nothing that is with structure,,,,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
100,4363,,902,,horn?,complete,button,,good,,,,,,,,,,,,,horn base with copper? Jacket,S30.2,1720,1740,1720-1740,1720-1750,School Master's House
101,6874,,1423,,horn?,fragment,button,,very poor,,,,,,,,,,,,,prob horn button with separate? Shank (missing) - poss base of composite button,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
102,6464,449,790,y,jet,complete,button,,good,sew-through,faceted,2,,regular,carved,vertical,,blackish,dimond shape,,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
103,6472,452,877,y,jet,complete,button,,good,sew-through,faceted,1.6,,regular,carved,vertical,,blackish,dimond shape,,,,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
104,6514,454,1022,y,jet,incomplete,button,,good,,faceted,1.5,,,carved,,,blackish,"""mound"" shape",,,,S21.1,1650,1690,1650-1690,1630-1690,School Room
105,13782,724,2788,y,jet,incomplete,stud,,poor,,faceted,1.5,,,undecorated,,,Black,,,,A stud/sleve silver button with applied jet stone - the back part is missing. The stone has two drilled holes on the side,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
106,6494,456,956,y,jet,incomplete,stud,,good,,spherical,1.1,,,moulded,,,,,,,,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
107,1194,,195,,glass,complete,button,,good,shanked,domed,1.2,,,enamelled,,,black,white star with yellow dots between arms and at centre,,,,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
108,1194,,195,,glass,fragment,button,,good,shanked?,domed,1.2,,,enamelled,,,colourless,"multiple, random(?) white dots",,,broken in half - prob a button ot stud,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
109,14107,,2872,,glass,complete,button,,good,shanked,domed/hexagonal,,,,inlay/applied,,iron wire loop,,ribbed,,white,like a starfish or urchin - 6 ribs with black dots on ribs and colourless trail between ribs; very fine work,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
