SampleNo,Est Vol,Exact Vol,Description,Type,Processed,Fractio,Sub-Sampled,Missing?,FieldDate,FieldID,Unit,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,20,22,midden deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,31/05/2002,AFH,29,S20.6,,1790,1790,1780-1810,School Dormitory
2,20,19,charcoal deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,03/06/2002,CKH,38,S32.1,1850,1890,1850-1890,1840-1900,Forge
3,20,17,black deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,04/06/2002,AFH,59,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
4,0,,black deposit,Micromorph,FALSE,,FALSE,FALSE,04/06/2002,AFH,59,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
5,20,9,dark organic deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,11/06/2002,AFH,95,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
6,20,10,red-brown twiggy deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,11/06/2002,AFH,102,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
7,2,,dark organic deposit,Chemical,FALSE,,FALSE,TRUE,11/06/2002,AFH,95,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
8,2,,red-brown twiggy deposit,Chemical,FALSE,,FALSE,TRUE,11/06/2002,AFH,102,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
9,10,9,drain fill,Bulk,TRUE,R/C/F,TRUE,FALSE,12/06/2002,AFH,116,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
10,10,9,dark deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,13/06/2002,AFH,125,S21.4,1770,1790,1770-1790,1750-1810,School Room
11,0,,dark deposit,Chemical,FALSE,,FALSE,TRUE,13/06/2002,AFH,125,S21.4,1770,1790,1770-1790,1750-1810,School Room
12,30,25,bone & charcoal rich fill,Bulk,TRUE,R/C/F,TRUE,FALSE,17/06/2002,AFH,143,S21.3,1750,1770,1750-1770,1750-1780,School Room
13,0,,units 206-216,Micromorph,FALSE,,FALSE,FALSE,10/10/2002,GG,152,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
14,10,11,ash layer,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,214,M.4,,,1500-1900,,Mound (Kyndluholl)
15,10,10,turf & ash layer,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,213,M.5,,,1500-1900,,Mound (Kyndluholl)
16,10,10,turf & ash layer,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,224,M.2,,,1500-1900,,Mound (Kyndluholl)
17,10,9,turf & charcoal,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,226,M.1,1500,1600,1500-1600,,Mound (Kyndluholl)
19,0,,units 224-228 NB: double sampl No,Micromorph,FALSE,,FALSE,FALSE,10/10/2002,GG,152,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
19,0,,Hammerscale/ Slag NB: double sampl No,Chemical,FALSE,,FALSE,FALSE,04/06/2003,GML,182,S32.1,1850,1890,1850-1890,1840-1900,Forge
20,0,,Taken in peatash layers at bottom of pit. Area 39,Chemical,FALSE,,TRUE,FALSE,05/06/2003,EH,174,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
21,10,10,Organig floor layer. Area 80.,Bulk,TRUE,R+C/F,TRUE,FALSE,05/06/2003,AFH,186,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
22,10,8,Organig floor layer. Area 80.,Bulk,TRUE,R+C/F,TRUE,FALSE,05/06/2003,AFH,183,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
23,10,8,Charcoale floor ? Dump ?. Area 80.,Bulk,TRUE,R+C/F,TRUE,FALSE,05/06/2003,AFH,187,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
24,0,,Small burnt bone,Chemical,FALSE,,FALSE,TRUE,06/06/2003,GML,191,S32.1,1850,1890,1850-1890,1840-1900,Forge
25,20,18,Floor from [190].,Bulk,TRUE,R+C/F,TRUE,FALSE,06/06/2003,SÞ,193,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
26,20,18,Floor from [190].,Bulk,TRUE,R+C/F,TRUE,FALSE,06/06/2003,SÞ,230,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
27,10,8,Fill from drain,Bulk,TRUE,R+C/F,TRUE,FALSE,11/06/2003,SÞ/AFH,278,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
28,10,8,Fill from drain,Bulk,TRUE,R+C/F,TRUE,FALSE,11/06/2003,SÞ/AFH,280,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
29,10,7,Fill from drain,Bulk,TRUE,R+C/F,TRUE,FALSE,12/06/2003,SÞ/AFH,279,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
30,20,18,Fill from drain in [055],Bulk,TRUE,R/C/F,TRUE,FALSE,12/06/2003,BL,268,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
31,10,6,Fill from drain.,Bulk,TRUE,R/C+F,TRUE,FALSE,12/06/2003,SÞ,284,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
32,0,,,Chemical,FALSE,,FALSE,FALSE,14/06/2003,OV,238,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
33,0,,Blue-grey clay stuff,Chemical,FALSE,,FALSE,FALSE,18/06/2003,BL,328,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
34,10,10,Floor [306],Bulk,TRUE,R+C/F,TRUE,FALSE,19/06/2003,OV,306,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
35,10,8,Floor easter end.,Bulk,FALSE,R+C/F,TRUE,TRUE,19/06/2003,OV,307,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
36,10,10,Floor wester end.,Bulk,TRUE,R+C/F,TRUE,FALSE,19/06/2003,OV,307,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
37,0,,"Turf, shit or hey ?",Chemical,FALSE,,FALSE,FALSE,26/06/2003,BL,350,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
38,0,16,Layer in lowest half of [438],Bulk,TRUE,R+C/F,TRUE,FALSE,26/06/2003,MS,439,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
39,0,,Fill of cut [496].,Chemical,FALSE,,TRUE,FALSE,01/07/2003,ÁE,498,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
40,5,2,Ash from fireplase...,Bulk,TRUE,R+C/F,TRUE,FALSE,01/07/2003,MA,503,S21.3,1750,1770,1750-1770,1750-1780,School Room
41,0,,Clay sample.,Chemical,FALSE,,FALSE,FALSE,02/07/2003,GML,506,S15.4,,1850,1850,1840-1870,Wheystore
42,20,14,Charcoal/ash deposit BLG.15,Bulk,TRUE,R/C/F,TRUE,FALSE,03/07/2003,JH,543,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
43,10,20,"Bone, seeds etc.",Bulk,TRUE,R/C/F,TRUE,FALSE,04/07/2003,JH,548,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
44,0,,Deposit in corridor nr 106.,Chemical,FALSE,,TRUE,FALSE,07/07/2003,EH,446,S13.3,1800,1830,1800-1830,1780-1840,Main Corridor
45,0,,Midden test A. 1 bag of fine black tephra,Chemical,FALSE,,FALSE,FALSE,07/07/2003,MC,559,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
46,10,8,"Floor layer, black. Group [436]",Bulk,TRUE,R+C/F,TRUE,FALSE,07/07/2003,NM,571,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
47,0,,Midden test A. 1 bag of fine dark tephra,Chemical,FALSE,,FALSE,FALSE,07/07/2003,MC,561,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
48,0,,Midden test A. 1 bag of fine dark tephra,Chemical,FALSE,,FALSE,FALSE,08/07/2003,MC,564,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
49,10,8,Floor layer. Group [435],Bulk,TRUE,R+C/F,TRUE,FALSE,08/07/2003,NM,589,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
50,10,6,Floor layer,Bulk,TRUE,R+C/F,TRUE,FALSE,09/07/2003,MA,612,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
51,10,8,"Floor layer, brown. Group [435]",Bulk,TRUE,R+C/F,TRUE,FALSE,10/07/2003,NM,639,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
52,0,,Contex [639/640],Micromorph,FALSE,,FALSE,FALSE,10/07/2003,GML,640,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
53,10,8,"Floor layer, black. Group [436]",Bulk,TRUE,R+C/F,TRUE,FALSE,11/07/2003,NM,647,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
54,10,9,"Floor layer, Birch bark. Group [435].",Bulk,TRUE,R+C/F,TRUE,FALSE,11/07/2003,SÞ,642,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
55,10,9,Charcoal midden layer.,Bulk,TRUE,R+C/F,TRUE,FALSE,11/07/2003,KK,596,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
56,10,4,Fill  of drain.,Bulk,TRUE,R+C/F,TRUE,FALSE,14/07/2003,GAG,658,S2.1,1902,1930,1902-1930,1900-1930,Haybarn
57,10,9,"Floor layer, black. Group [435].",Bulk,TRUE,R+C/F,TRUE,FALSE,14/07/2003,SÞ,672,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
58,0,,Clay ...,Chemical,FALSE,,FALSE,FALSE,15/07/2003,GML,662,S15.3,1800,1850,1800-1850,1780-1810,Wheystore
59,0,,Birch things ?,Chemical,FALSE,,TRUE,FALSE,15/07/2003,GML,662,S15.3,1800,1850,1800-1850,1780-1810,Wheystore
60,0,,Black layer ? Group [436].,Chemical,FALSE,,TRUE,TRUE,17/07/2003,GML,728,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
61,0,,Birch bark / ... Layer,Chemical,FALSE,,TRUE,FALSE,17/07/2003,JW,708,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
62,0,,Red clay,Chemical,FALSE,,FALSE,FALSE,23/09/2003,GML,367,S11.4,,1740,1740,1720-1750,Priests Living Quarters
63,10,9,Fill of drain [499],Bulk,TRUE,R/C+F,TRUE,FALSE,27/05/2004,CKH,761,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
64,10,9,Fill of drain [499],Bulk,TRUE,R/C+F,TRUE,FALSE,27/05/2004,CKH,766,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
65,10,9,Fill of drain [499],Bulk,TRUE,R/C+F,TRUE,FALSE,27/05/2004,CKH,770,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
66,10,8,Lower part of fill of drain [795],Bulk,TRUE,R/C/F,TRUE,FALSE,28/05/2004,EH,795,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
67,10,6,Lower part of fill of drain [795],Bulk,TRUE,R/C/F,TRUE,FALSE,28/05/2004,EH,796,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
68,10,9,Fill of drain in main corridor,Bulk,TRUE,R/C/F,TRUE,FALSE,01/06/2004,EH,810,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
69,10,8,Drain fill in side corridor,Bulk,TRUE,R/C/F,TRUE,FALSE,02/06/2004,SGB,830,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
70,10,7.5,Drain fill in main corridor,Bulk,TRUE,R/C/F,TRUE,FALSE,02/06/2004,EH,836,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
71,10,9.5,Drain fill in main corridor,Bulk,TRUE,R/C/F,TRUE,FALSE,07/06/2004,EH,866,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
72,1,9,Carchoal rich floor layer. Room [878],Bulk,TRUE,R/C/F,TRUE,FALSE,08/06/2004,ÁE/AFH,895,S21.1,1650,1690,1650-1690,1630-1690,School Room
73,1,8,Drain fill in main corridor,Bulk,TRUE,R/C/F,TRUE,FALSE,08/06/2004,EH,891,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
74,10,9.5,Charcoal floor layer,Bulk,TRUE,R/C/F,TRUE,FALSE,09/06/2004,SÞ,843,S22.3,1730,1750,1730-1750,1720-1750,Assistant Teachers Quarters
75,20,18,Deposit whitin fireplace,Bulk,TRUE,R/C/F,TRUE,FALSE,10/06/2004,CKH,933,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
76,0,,Grass/Turf sample,Chemical,FALSE,,FALSE,TRUE,14/06/2004,GML,980,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
77,10,9,Grey floor layer in room [878],Bulk,TRUE,R/C+F,TRUE,FALSE,15/06/2004,ÁE/AFH,1007,S21.2,1690,1750,1690-1750,1690-1750,School Room
78,10,9,Floor layer in room [842],Bulk,TRUE,R/C/F,TRUE,FALSE,15/06/2004,SÞ,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
79,10,8,Charcoal layer,Bulk,TRUE,R/C+F,TRUE,FALSE,15/06/2004,GML,1010,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
80,10,8,Mixed charcoal layer,Bulk,TRUE,R/C+F,TRUE,FALSE,15/06/2004,GML,1016,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
81,10,9,Turf floor [932]-squars,Bulk,TRUE,R/C/F,TRUE,FALSE,16/06/2004,BL,956,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
82,10,10,Floor,Bulk,TRUE,R/C/F,TRUE,FALSE,16/06/2004,SGB,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
83,0,,Sample of black stuff,Chemical,FALSE,,FALSE,FALSE,16/06/2004,GML,1028,S15.2,1760,1800,1760-1800,1750-1810,Wheystore
84,10,,Drain fill fo group [1017],Chemical,FALSE,,FALSE,TRUE,17/06/2004,ÁE/AFH,1029,S21.2,1690,1750,1690-1750,1690-1750,School Room
85,5,4.5,Coaly stuff from top of [932],Bulk,TRUE,R/C/F,TRUE,FALSE,16/06/2004,BL,958,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
86,0,,White clay,Bulk,FALSE,,FALSE,FALSE,21/06/2004,GML,1030,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
87,0,,Pink clay,Bulk,FALSE,,FALSE,FALSE,21/06/2004,GML,1030,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
88,10,10,Floor,Bulk,TRUE,R/C/F,TRUE,FALSE,21/06/2004,SGB,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
89,0,10,Clay lin_g sample NB: Both Bul and Chem,Bulk/Chem?,TRUE,R/C/F,TRUE,FALSE,29/06/2004,GML,1091,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
90,0,,Thepra (?) Sample ? of south room [887],Chemical,FALSE,,FALSE,FALSE,30/06/2004,GML,1091,S15.1,1650,1760,1650-1760,1630-1780,Wheystore
91,10,8,Charcoal,Bulk,TRUE,R/C+F,TRUE,FALSE,07/07/2004,GH,1169,S11.2,1720,1730,1720-1730,1720-1750,Priests Living Quarters
92,10,11,Clay layer in [691],Bulk,TRUE,,TRUE,FALSE,07/07/2004,ÓGS,1182,S11.3,1730,1740,1730-1740,1720-1750,Priests Living Quarters
93,10,7.5,Drain fill in [816],Bulk,TRUE,R/C+F,TRUE,FALSE,08/07/2004,EH,1185,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
94,10,7.5,Drain fill group [1179],Bulk,TRUE,R/C/F,TRUE,FALSE,08/07/2004,CJVH,1188,S10.3,1760,1800,1760-1800,1750-1810,Kitchen
221,20,10,Drain fill,Bulk,TRUE,,TRUE,FALSE,24/05/2006,ÓGS,1726,C.3,1830,1850,1830-1850,1810-1870,Courtyard
222,2,8,Bag- Drain fill,Bulk,TRUE,,TRUE,FALSE,24/05/2006,ÓGS,1730,C.3,1830,1850,1830-1850,1810-1870,Courtyard
223,1,4,Bag- Drain fill (lower),Bulk,TRUE,,TRUE,FALSE,25/05/2006,ÓGS,1742,C.3,1830,1850,1830-1850,1810-1870,Courtyard
224,1,3,Bag-Drain? Fill (topfill),Bulk,TRUE,,TRUE,FALSE,25/05/2006,UÆ,1738,S18.6,1760,1770,1760-1770,1750-1780,Pantry
225,1,4,Bag- Drain fill,Bulk,TRUE,,TRUE,FALSE,25/05/2006,ÓGS,1755,S7.2,1760,1800,1760-1800,1750-1810,Vestibule & Corridor
226,2,7,Bags- Drain fill,Bulk,TRUE,,TRUE,FALSE,29/05/2006,ÓGS,1749,C.3,1830,1850,1830-1850,1810-1870,Courtyard
227,20,7,Drain fill,Bulk,TRUE,,FALSE,FALSE,29/05/2006,ÓGS,1752,C.3,1830,1850,1830-1850,1810-1870,Courtyard
228,20,10,Floor layer (Square 04),Bulk,TRUE,,TRUE,FALSE,29/05/2006,PK,1803,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
229,20,10,Floor layer (Square 07),Bulk,TRUE,,TRUE,FALSE,29/05/2006,MS,1806,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
230,20,7,Drain fill,Bulk,TRUE,,TRUE,TRUE,31/05/2006,AFH/SÞ,1799,S5.1,1720,1740,1720-1740,1720-1750,Bishops Dining Room
231,20,10,Drain fill,Bulk,TRUE,,TRUE,FALSE,01/06/2006,ÓGS,1849,C.3,1830,1850,1830-1850,1810-1870,Courtyard
232,20,11,Floor layer,Bulk,TRUE,,TRUE,FALSE,02/06/2006,MS,1818,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
233,1,4,Bag - Peat ash dump,Bulk,TRUE,,TRUE,FALSE,02/06/2006,CKH,1858,S17.8,1790,1830,1790-1830,1780-1840,Midden
234,20,8,Drain fill,Bulk,TRUE,,TRUE,FALSE,07/06/2006,SGB/HK,1906,S4.1,1720,1760,1720-1760,1720-1780,Lodge/Dining Room & Chambers
235,20,11,Floor,Bulk,TRUE,,TRUE,FALSE,07/06/2006,CKH,1823,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
236,20,4,Floor - soil floor,Bulk,TRUE,,TRUE,FALSE,08/06/2006,UÆ/LP,1926,S18.5,1740,1760,1740-1760,1720-1780,Pantry
