SampleNo,Est Vol,Exact Vol,Description,Type,Processed,Fractio,Sub-Sampled,Missing?,FieldDate,FieldID,Unit,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
156,1,,Bag - 206 - Bulk,Bulk,FALSE,,FALSE,FALSE,29/05/2005,SGB,206,M.6,1800,1900,1800-1900,,Mound (Kyndluholl)
157,1,,Bag - 224 - Bulk,Bulk,FALSE,,FALSE,FALSE,29/05/2005,SGB,224,M.2,,,1500-1900,,Mound (Kyndluholl)
158,1,,Bag - 225 - Bulk,Bulk,FALSE,,FALSE,FALSE,29/05/2005,SGB,225,M.2,,,1500-1900,,Mound (Kyndluholl)
159,1,,Bag - 226 - Bulk,Bulk,FALSE,,FALSE,FALSE,29/05/2005,SGB,226,M.1,1500,1600,1500-1600,,Mound (Kyndluholl)
163,1,,Tin - Kubina sample,Micromorph,FALSE,,FALSE,FALSE,29/05/2005,SGB,207,M.5,,,1500-1900,,Mound (Kyndluholl)
164,1,,Tin - Kubina sample,Micromorph,FALSE,,FALSE,FALSE,29/05/2005,SGB,204,M.6,1800,1900,1800-1900,,Mound (Kyndluholl)
166,20,10,Drain fill in room [691],Bulk,TRUE,R+C/F,TRUE,FALSE,31/05/2005,ÓGS,1364,S11.2,1720,1730,1720-1730,1720-1750,Priests Living Quarters
167,20,10,Floor layer room [1200],Bulk,TRUE,R/C+F,TRUE,FALSE,31/05/2005,ÁE,1348,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
168,20,10,Drain fill in [691],Bulk,TRUE,R+C/F,TRUE,FALSE,31/05/2005,ÓGS,1366,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
169,20,10,Floor in w - end,Bulk,TRUE,R+C/F,TRUE,FALSE,01/06/2005,GML,1359,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
170,20,10,Floor layer room [1200],Bulk,TRUE,R+C/F,TRUE,FALSE,10/06/2005,ÁE,1449,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
171,20,10,Floor layer,Bulk,TRUE,R+C/F,TRUE,FALSE,10/06/2005,GML,1461,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
172,20,10,Drain fill,Bulk,TRUE,R+C/F,TRUE,FALSE,13/06/2005,GML,1415,S7.2,1760,1800,1760-1800,1750-1810,Vestibule & Corridor
173,20,,Drain fill,Bulk,FALSE,,FALSE,TRUE,14/06/2005,EH,1478,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
174,1,,Small bag - Stone - mineral,Chemical,FALSE,,FALSE,FALSE,15/06/2005,ÓGS,1509,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
175,20,9,Floor layer,Bulk,TRUE,R+C/F,TRUE,FALSE,15/06/2005,UÆ/LP,1514,S18.7,1770,1790,1770-1790,1750-1810,Pantry
176,20,10,Charcoal deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,16/06/2005,ÁE,1518,S5.1,1720,1740,1720-1740,1720-1750,Bishops Dining Room
177,20,10,Drain fill,Bulk,TRUE,R+C/F,TRUE,FALSE,16/06/2005,GML,1520,S6.2,1760,1800,1760-1800,1750-1810,Bishops Living Quarters
178,20,11,Floor/Charcoal,Bulk,TRUE,R+C/F,TRUE,FALSE,16/06/2005,MS,1511,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
179,20,9,Charcoal,Bulk,TRUE,R+C/F,TRUE,FALSE,16/06/2005,ÓGS,1531,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
180,20,11,Fill in [1539],Bulk,TRUE,R+C/F,TRUE,FALSE,20/06/2005,MS,1538,S10.3,1760,1800,1760-1800,1750-1810,Kitchen
181,20,10,Floor in room [690] - Group [1434],Bulk,TRUE,R+C/F,TRUE,FALSE,21/06/2005,SÞ,1507,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
182,10,7,Drain fill in main corridor - Group [784],Bulk,TRUE,R+C/F,TRUE,FALSE,23/06/2005,EH,1552,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
183,20,10,Well fill - top - Group [1282],Bulk,FALSE,R+C/F,TRUE,TRUE,23/06/2005,ÓGS,1602,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
184,1,,Bag - Well fill - Group [1282],Chemical,FALSE,,TRUE,FALSE,23/06/2005,ÓGS,1602,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
185,20,10,Well fill - bottom - Group [1282],Bulk,TRUE,R+C/F,TRUE,FALSE,23/06/2005,ÓGS,1602,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
186,20,10,Drain fill,Bulk,TRUE,R+C/F,TRUE,FALSE,24/06/2005,ÁE,1527,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
187,20,10,Floor,Bulk,TRUE,R/C+F,TRUE,FALSE,24/06/2005,UÆ/LP,1609,S18.6,1760,1770,1760-1770,1750-1780,Pantry
188,20,10,Floor,Bulk,TRUE,R/C/F,TRUE,FALSE,27/06/2005,EH,1617,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
189,20,10,Floor layer,Bulk,TRUE,R/C/F,TRUE,FALSE,27/06/2005,SÞ,1586,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
190,20,10,Charcoal + turf mix,Bulk,TRUE,R/C/F,TRUE,FALSE,27/06/2005,ÓGS,1612,S11.2,1720,1730,1720-1730,1720-1750,Priests Living Quarters
191,20,9,Drain fill,Bulk,TRUE,R/C/F,TRUE,TRUE,28/06/2005,ÁE,1630,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
192,20,10,Floor layer,Bulk,TRUE,R/C/F,TRUE,FALSE,29/06/2005,EH,1627,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
193,1,,Bag - Clayish patch in floor,Bulk,FALSE,,FALSE,FALSE,29/06/2005,EH,1627,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
194,20,,unidentified - ev. Iron,Bulk,FALSE,,FALSE,FALSE,30/06/2005,MS,1651,S10.2,1740,1760,1740-1760,1720-1780,Kitchen
195,20,9,Flaky floor layer,Bulk,TRUE,R/C+F,TRUE,FALSE,05/07/2005,UÆ,1677,S18.6,1760,1770,1760-1770,1750-1780,Pantry
196,20,10,Drain fill,Bulk,TRUE,R+C/F,TRUE,FALSE,05/07/2005,ÓGS,1689,S11.2,1720,1730,1720-1730,1720-1750,Priests Living Quarters
197,20,10,Drain fill,Bulk,TRUE,R+C/F,TRUE,FALSE,05/07/2005,ÓGS,1691,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
198,20,,Drain fill,Bulk,FALSE,,FALSE,TRUE,05/07/2005,ÓGS,1694,S11.2,1720,1730,1720-1730,1720-1750,Priests Living Quarters
199,20,10,Drain fill,Bulk,TRUE,R+C/F,TRUE,FALSE,05/07/2005,ÓGS,1696,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
200,10,9,Drain fill,Bulk,TRUE,R/C+F,TRUE,FALSE,05/07/2005,GML,1690,S7.2,1760,1800,1760-1800,1750-1810,Vestibule & Corridor
202,0,,,Micromorph,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,215,M.4,,,1500-1900,,Mound (Kyndluholl)
204,0,,R53,Micromorph,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,53,S21.4,1770,1790,1770-1790,1750-1810,School Room
205,0,,R51,Micromorph,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
206,0,,R51,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
207,0,,R51,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
208,0,,R51,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
209,0,,R51 - Layer 11,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
210,0,,R51 - Layer 3,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
211,0,,R51 - Layer 4,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
212,0,,R51 - Layer 5,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
213,0,,R51 - Layer 9,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
214,0,,R51 - Layer 11,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
215,0,,R51 - Layer 12,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,51,S13.4,1830,1850,1830-1850,1810-1870,Silo/Midden
216,0,,R52 - Layer 1,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,52,S29.3,,1900,1900,1900,Outhouse
217,0,,R52 - Layer 4,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,52,S29.3,,1900,1900,1900,Outhouse
218,0,,R52 - Layer 9,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,52,S29.3,,1900,1900,1900,Outhouse
219,0,,R52 - Layer 12,Bulk,FALSE,,FALSE,FALSE,30/08/2005,GML/SGB,52,S29.3,,1900,1900,1900,Outhouse
220,20,11,Drain fill,Bulk,TRUE,,TRUE,FALSE,23/05/2006,ÓGS,1720,C.3,1830,1850,1830-1850,1810-1870,Courtyard
305,0,,Peat ash dump,Bulk,FALSE,,FALSE,TRUE,05/06/2007,BL,2575,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
306,0,12,Charcoal dump,Bulk,TRUE,,TRUE,FALSE,05/06/2007,BL,2584,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
307,0,9,Floor layer,Bulk,TRUE,,TRUE,FALSE,05/06/2007,LP,2578,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
308,0,10,Charcoal rich dump,Bulk,TRUE,,TRUE,FALSE,06/06/2007,BL/ÁE,2575,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
309,0,,"From fireplace, wood ash, charcoal",Bulk,FALSE,,FALSE,TRUE,06/06/2007,LP,2588,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
310,0,,"From fireplace, wood ash, charcoal",Bulk,FALSE,,FALSE,TRUE,06/06/2007,LP,2596,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
311,0,,"From fireplace, wood ash, charcoal",Bulk,FALSE,,FALSE,TRUE,06/06/2007,LP,2599,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
312,0,,Peat ash from fireplace,Bulk,FALSE,,FALSE,TRUE,06/06/2007,LP,2601,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
313,0,,"Turf, peat ash, charcoal",Bulk,FALSE,,FALSE,TRUE,06/06/2007,UÆ,2600,S17.6,1750,1770,1750-1770,1750-1780,Meat Store
314,0,10,Birch twig,Bulk,TRUE,,TRUE,FALSE,07/06/2007,GML,2609,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
315,0,10,Charcoal rich twigs,Bulk,TRUE,,TRUE,FALSE,07/06/2007,BL/ÁE,2607,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
316,0,10,Drain fill sample,Bulk,TRUE,,TRUE,TRUE,07/06/2007,ÓGS,2615,S27.1,1700,1720,1700-1720,1690-1720,Passage
317,0,,Drain fill for siewing,Bulk,FALSE,,FALSE,TRUE,07/06/2007,ÓGS,2615,S27.1,1700,1720,1700-1720,1690-1720,Passage
318,0,10,Floor layer,Bulk,TRUE,,TRUE,TRUE,07/06/2007,BL/ÁE,2623,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
319,0,,Peat ash,Bulk,FALSE,,FALSE,TRUE,08/06/2007,UÆ,2624,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
320,0,,"Greyish, black, clayish stuff",Bulk,FALSE,,FALSE,TRUE,11/06/2007,UÆ,2625,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
321,0,8,"Wet silty ""fill""",Bulk,TRUE,,TRUE,FALSE,11/06/2007,ÁE,2634,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
322,0,9,Floor,Bulk,TRUE,,TRUE,FALSE,12/06/2007,ÓGB,2521,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
323,0,10,Floor,Bulk,TRUE,,TRUE,FALSE,12/06/2007,ÓGS,2651,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
324,0,9,Floor,Bulk,TRUE,,TRUE,FALSE,13/06/2007,ÓGS,2701,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
325,0,10,Floor,Bulk,TRUE,,TRUE,FALSE,13/06/2007,ÓGS,2708,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
326,0,9,Floor,Bulk,TRUE,,TRUE,FALSE,13/06/2007,GML,2684,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
327,0,10,Floor,Bulk,TRUE,,TRUE,FALSE,13/06/2007,GML,2687,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
328,0,10,Floor Gp [2659],Bulk,TRUE,,TRUE,FALSE,14/06/2007,UÆ,2714,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
329,0,10,Drain fill,Bulk,TRUE,,TRUE,FALSE,14/06/2007,ÓGS,2733,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
330,0,11,Drain fill  Marked as 2752,Bulk,TRUE,,TRUE,FALSE,14/06/2007,ÓGS,2733,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
331,0,7,Floor Gp [2659],Bulk,TRUE,,TRUE,FALSE,14/06/2007,UÆ,2665,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
332,0,12,Floor Gp [2659],Bulk,TRUE,,TRUE,FALSE,14/06/2007,UÆ,2718,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
333,0,12,Peat ash in fireplace 2730,Bulk,TRUE,,TRUE,FALSE,14/06/2007,ÁE/BL,2731,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
334,0,10,Floor,Bulk,TRUE,,TRUE,FALSE,18/06/2007,LP,2746,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
335,0,9,Floor Gp [2797],Bulk,TRUE,,TRUE,FALSE,19/06/2007,UÆ,2865,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
336,0,10,Floor Gp [2797],Bulk,TRUE,,TRUE,FALSE,20/06/2007,UÆ,2864,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
337,0,10,Fill of drain 2629,Bulk,TRUE,,TRUE,FALSE,20/06/2007,ÁE,2880,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
338,0,8,Fill of cut,Bulk,TRUE,,TRUE,FALSE,20/06/2007,BL,2875,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
339,0,12,Floor in passage,Bulk,TRUE,,TRUE,TRUE,20/06/2007,UÆ,2803,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
340,0,10,Floor,Bulk,TRUE,,TRUE,TRUE,21/06/2007,ÓGS,2812,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
341,0,10,Floor,Bulk,TRUE,,TRUE,FALSE,21/06/2007,ÓGS,2822,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
342,0,10,Floor,Bulk,TRUE,,FALSE,FALSE,21/06/2007,ÓGS,2832,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
343,0,12,Floor,Bulk,TRUE,,TRUE,FALSE,21/06/2007,ÓGS,2840,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
344,0,,"wood ash, peat ash",Bulk,FALSE,,FALSE,TRUE,21/06/2007,UÆ,2893,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
345,0,,Black organic goo,Bulk,FALSE,,FALSE,TRUE,21/06/2007,SGB,2819,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
346,0,9,Peat ash mixed floor,Bulk,TRUE,,TRUE,TRUE,21/06/2007,BL,2896,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
347,0,10,Floor Gp,Bulk,TRUE,,TRUE,FALSE,21/06/2007,GML,2904,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
348,0,10,Floor [2892],Bulk,TRUE,,TRUE,TRUE,22/06/2007,UÆ,2909,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
349,0,,Wood and peat ash,Bulk,FALSE,,FALSE,FALSE,22/06/2007,UÆ,2925,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
350,0,10,Flotation,Bulk,TRUE,,TRUE,FALSE,22/06/2007,GML,2694,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
351,0,10,Peat ash fill,Bulk,TRUE,,TRUE,TRUE,25/06/2007,BL,2952,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
352,0,9,Floor,Bulk,TRUE,,FALSE,FALSE,26/06/2007,UÆ,2955,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
353,0,11,Possible drain fill,Bulk,TRUE,,TRUE,FALSE,26/06/2007,ÓGS,2846,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
354,0,12,Ash from f-place [2951],Bulk,TRUE,,TRUE,FALSE,27/06/2007,UÆ,2985,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
355,0,11,Fill of drain [2960],Bulk,TRUE,,TRUE,FALSE,27/06/2007,ÁE,2970,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
356,0,9,Fill of drain [2960] 2972/2973,Bulk,TRUE,,TRUE,FALSE,27/06/2007,ÁE,2972,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
357,0,8,Fill of drain [2960],Bulk,TRUE,,TRUE,FALSE,27/06/2007,LP,2994,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
358,0,10,Floor / ash,Bulk,TRUE,,TRUE,FALSE,27/06/2007,SGB,2982,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
359,0,,floor,Micromorph,FALSE,,FALSE,FALSE,27/06/2007,SGB,2982,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
360,0,2,Pink peat ash patch,Bulk,TRUE,,TRUE,TRUE,28/06/2007,BL,3001,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
361,0,2,Patch of charcoal/burnt bone,Bulk,TRUE,,FALSE,FALSE,28/06/2007,BL,3009,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
362,0,1,Peat ash west of fireplace [2951],Bulk,TRUE,,TRUE,FALSE,28/06/2007,UÆ,3017,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
363,0,,Bone rich dep,Bulk,FALSE,,TRUE,FALSE,29/06/2007,GML,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
364,0,1,bone rich deposit,Chemical,TRUE,,TRUE,FALSE,29/06/2007,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
