ID1,ID,Finds Number,Unit Number,Material,material group,species,Object,Size,Completeness,Number of fragments,Weight (g),Condition,Notes,GroupNo,Space,Building Phase,Unit type,Sieved,Start Date,End Date,Attribution,Period_30,Duration,calibration per 30 years
71,99,21,1,bisque porcelain,Ceramic,,?figurine,,fragment,3,4.2,good,vessel or figurine,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
75,104,21,1,bisque porcelain,Ceramic,,doll's head,,fragment,4,9.3,good,"painted pink skin and brown eyebrows and lashes on white body;  possibly more than one head here; 3 pieces marked: a) 37 …. AM: Armand Marseille, model no. 370 (prob); head and shoulder; 1894+; b) [Made in ]Ger[many] R 10/….:  almost certainly Arman Marse",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
83,106,21,1,glazed porcelain,Ceramic,,doll's head,,fragment,4,8.1,good,Painted porcelain head - black hair and pink skin; most paint has come off; china doll - 1840-1880?,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
80,98,21,1,bisque porcelain,Ceramic,,figurine?,35mm,fragment,1,4.8,good,head of wild boar?,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
133,110,692,1,celluloid,Plastic,,pick comb,"40mm deep, 30mm long",fragment,1,0.7,good,tortoiseshell hair comb with scalloped back; camphor smell. 2mm spacing between teeth; c. 1880-1920,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
134,109,692,1,celluloid,Plastic,,single side comb,"35mm deep, 45mm long",fragment,1,3.9,gooc,"ivory coloutred, large comb; camphor smell of celluloid; c. 1880-1920; fine (<0.5mm) spacing between teeth",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
138,107,692,1,plastic,Plastic,,single side comb,61mm,fragment,1,36,good,dark green; roughly moulded; early 20 c; probably catalin; 1mm teeth spacing,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
139,108,692,1,plastic,Plastic,,single sided comb,"48mm long, 22mm high",fragment,1,1.7,good but teeth fragile,ivory coloured comb with differential spaced teeth - wide (c.1mm) and fine (<0.5mm); early 20 c; catalin or bakelite,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
76,105,1014,1,bisque porcelain,Ceramic,,doll's head,,fragment,1,1.56,good,"fragment with eyebrow; same type as no.104 . Armand Marseille, larger doll head.",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
2,c,1018,1,bone,Bone,,splinter,,fragment,3,,,misc bone frags,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
4,,1064,1,bone,Bone,whale,gaming counter,37mm thick,complete,1,,,disc with concentric grooves; hand carved; poor condition but complete.,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
88,6,1102,1,pottery,Ceramic,,counter,"10mm diam, 3mm thick",complete,1,0.52,good - spalled on one side,re-worked from whiteware plate or saucer with blue floral  decoration (tissue print?); circular disc; 19 c,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
95,1,3480,1,glass,Glass,,ring setting,3mm diam,complete,1,0.04,very good,"tiny setting , possibly for finger ring; round brilliant cut shape - uneven facets/somehwat irregular; colourless",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
87,119,7486,1,pottery,Ceramic,,counter,"12mm diam, 6mm thick",near complete,1,0.34,good but spalled - split longitudinally so not original thickness,re-worked from undecorated creamware,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
79,91,7488,1,bisque porcelain,Ceramic,,figurine,80mm long,near complete,1,76,very good,"unglazed, white porcelain bull dog; feet cut off; prob 20 c.; no ID marks",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
86,76,8732,1,porcelain in copper alloy frame,Ceramic,,snuff box lid,"29 x 24mm, 1.2mm thick",complete,1,3.54,"good, but copper with verdigris","portrait of a lady in red dress on brown background; early 19c? Impressed back stamp on porcelain: U; hinge on left side, hooked clasp on right; found  just south of room 39 under topsoil",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
78,100,19320,1,bisque porcelain,Ceramic,,doll's leg,30mm,complete,1,3.1,good,"leg of girl with brown painted sandal; hole perforated through top of leg; prob French or German, c. 1890-1930. Small doll",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
119,,847,8,iron pan,Natural,,?natural,,fragment,1,1.5,good,oval shell/husk -probable iron panning,818,7,T1.2,Excavation,FALSE,1984,1986,Guðmundur Ólafsson Excavation,1960-1990,2,15
228,114,853,8,gum?,Resin,,chewing gum,12mm,fragment,1,0.3,good,"brownish-white, soft material - molar marks? Chewing gum?",818,7,T1.2,Excavation,FALSE,1984,1986,Guðmundur Ólafsson Excavation,1960-1990,2,15
137,111,841,9,plastic,Plastic,,bar,"5 x 2.5mm, 10mm long",fragment,1,0.7,good,"charcoal grey, rectangular x-section, small bar; unknown use",818,7,T1.2,Excavation,FALSE,1984,1986,Guðmundur Ólafsson Excavation,1960-1990,2,15
121,94,18885,28,mineralized soil?,Natural,,root cast?,12mm,fragment,1,0.17,good,tubule - probably mineralization around a root,3027,3027,S31.1,Wall,FALSE,1830,1890,Outhouses?,1810-1900,60,0.5
102,123,680,29,glass,Glass,,sequin/counter,"9mm diam, 1.5mm thick",complete,1,0.2,good,6 uneven facets around edges - prob ring/pendant setting rather than counter/sequin; colourless,80,80,S20.6,Floor,FALSE,1790,1790,School Dormitory,1780-1810,1,30
171,89,18362,29,sealing wax,Resin,,seal,7mm,fragment,14,0.01,good,"tiny fragments, abraded (from flotation?)",80,80,S20.6,Floor,FALSE,1790,1790,School Dormitory,1780-1810,1,30
199,81,19026,29,sealing wax,Resin,,uncertain,4mm,fragment,1,0.05,good,small frag; from sample no.1,80,80,S20.6,Floor,FALSE,1790,1790,School Dormitory,1780-1810,1,30
191,87,855,37,sealing wax,Resin,,stick,"20mm long, 8mm square",fragment,1,0.97,poor,"stick end, square-sectioned; dried out",80,80,S20.6,Roof,FALSE,1790,1790,School Dormitory,1780-1810,1,30
55,,6544,52,horn?,Bone,horn or fish bone,unidentified,"12mm L, 4mm th",fragment,1,,,irreg disc - poss offcut?,100,100,S29.3,Wall,FALSE,1820,1880,Infirmary,1810-1900,60,0.5
210,88,18400,59,sealing wax?,Resin,,uncertain,5mm,fragment,2,0.07,good,"2 small fragments - 1 possibly sealing wax, other looks like ceramic - but both could be ceramic; from sample no.3",80,80,S20.5,Floor,FALSE,1770,1790,School Dormitory,1750-1810,20,1.5
99,120,675,85,glass,Glass,,ring/pendant setting,"12mm diam, 7mm thick",complete,1,1.4,good,brilliant cut facets; edges roughly chipped; blue,81,81,S21.4,Floor,FALSE,1770,1800,School Room,1750-1810,30,1
189,77,856,108,sealing wax,Resin,,stick,15mm,fragment,1,0.68,good,lump - prob from a stick,3029,3029,S29.1,Floor,FALSE,1780,1790,Infirmary,1780-1810,10,3
203,78,857,112,sealing wax?,Resin,,stick,"12mm diam, 26mm long",fragment,1,2.48,good but degraded,cylindrical stick - dried out/powdery,300,300,S4.6,Wall,FALSE,1890,1890,Pantry/Kitchen,1870-1900,1,30
198,79,850,128,sealing wax,Resin,,uncertain,4mm,fragment,1,0.01,poor,tiny ball - drop?,127,127,S30.4,Wall,FALSE,1750,1750,School Master's House,1750-1780,1,30
167,80,447,139,sealing wax,Resin,,seal,7mm,fragment,1,0.01,good,tiny frag with impression,127,127,S30.3,Floor,FALSE,1740,1750,School Master's House,1720-1750,10,3
182,,,139,sealing wax,Resin,,stick,"11 long, 9x9 square",fragment,1,1.1,good,"seal stick terminal, sooted end, broken; square sectioned; slightly dried and cracked",,,,,FALSE,,,,,,
85,117,1008,164,porcelain,Ceramic,,swing stopper,40 x 24mm,complete,1,21,very good,"glazed porcelain, white bottle stopper; printed black text on side:  A.G.F. GLASINO, DRESDEN, PATENT 1100; 20 c.",3026,3026,MA.2,Midden,FALSE,1910,1930,Midden Zone A,1900-1930,20,1.5
72,101,2140,164,bisque porcelain,Ceramic,,?figurine,,fragment,1,3.4,good,"white, flat base of figurine or vessel",3026,3026,MA.2,Midden,FALSE,1910,1930,Midden Zone A,1900-1930,20,1.5
74,102,2140,164,bisque porcelain,Ceramic,,doll's head,30mm,fragment,1,2.4,good,"white porcelain, pink painted face and brown eyebrow from  large doll; possibly same doll or type as no.104. Whole head originally c. 70-80mm?",3026,3026,MA.2,Midden,FALSE,1910,1930,Midden Zone A,1900-1930,20,1.5
77,126,4702,164,bisque porcelain,Ceramic,,doll's head,,fragment,2,3.8,good,prob dolls head/shoulder frags - no visible paint,3026,3026,MA.2,Midden,FALSE,1910,1930,Midden Zone A,1900-1930,20,1.5
107,122,1075,170,glass,Glass,,sequin/counter,"10mm diam, 2mm thick",complete,1,0.45,"good, but patinated",re-worked from glass pane (prob); edges roughyl chipped; light green,421,421,S11.4,Roof,FALSE,1740,1740,Priests Living Quarters,1720-1750,1,30
222,,1199,194,stone?,Stone,,unknown,18mm L,fragment,1,0.8,good,"small, sausage shaped object, prob stone - poss ?whetstone tip?",190,733,S20.3,Floor,TRUE,1750,1760,School Dormitory,1750-1780,10,3
64,568,1195,195,ivory?,Bone,prob haddock cleithrum,gaming figure,15mm diam,almost complete,1,,,"Very similar to ID 558, 559 and 563. Cylindrical/drum base , 1,45 cm in diameter with a 0,9 cm hole bored into it, with conical top which has a bent tip. Probably a bishop or knight (cf Novgorod).",190,733,S20.3,Floor,TRUE,1750,1760,School Dormitory,1750-1780,10,3
104,2,1247,197,glass,Glass,,sequin/counter,"10mm diam, 1mm thick",complete,1,0.43,"good, slight patina",probably re-worked from window glass; edge chipped. Cicular disc; sequin or gaming counter; light green,190,733,S20.3,Floor,TRUE,1750,1760,School Dormitory,1750-1780,10,3
32,,1206,198,bone/horn,Bone,fish?,bevel,"40mm L, 2mm th",fragment,1,,,bevel from some circular object 40mm diam - frame? Prob made from bone/horn?,190,733,S20.3,Floor,TRUE,1750,1760,School Dormitory,1750-1780,10,3
65,558,1283,230,ivory?,Bone,prob haddock cleithrum,gaming figure,"26mm L, 15mm diam",complete,1,,,"Spindle-turned gaming piece. The base is cylindrical and 1,4 cm in diameter. The top is a round grip that narrows in and then widens our again into a round knob. The bottom end is cut at a slight angle, and has a 1,15 cm hole bored a few mm into it. The t",190,733,S20.3,Floor,TRUE,1750,1760,School Dormitory,1750-1780,10,3
148,,1546,268,sealing wax,Resin,,seal?,,fragment,1,0.1,poor,"tiny flake, prob from a seal",264,1200,S5.4,Drain,FALSE,1780,1800,Pantry/Study & Library,1780-1810,20,1.5
68,,9116,278,ivory?,Bone,prob haddock cleithrum,gaming figure,"13mm diam, 8mm thick",complete?,1,,,"turned, prob chess piece; pos ivory",272,733,S20.2,Drain,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
48,,1507,279,horn,Bone,,box,27mm th,almost complete,1,,,small cylindrical box made out of horn; snuff?,272,733,S20.2,Drain,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
175,,1609,309,sealing wax,Resin,,seal,,fragment,1,0.1,good,"tiny flakes of wax,  from a seal with some very clear impressions",1100,1100,S9.1,Floor,FALSE,1740,1800,Living Quarters,1750-1810,60,0.5
151,,1922,309,sealing wax,Resin,,stick?,,fragment,1,0.1,poor,"chip of sealing wax, prob from a stick - too chunky to be from a seal",1100,1100,S9.1,Floor,FALSE,1740,1800,Living Quarters,1750-1810,60,0.5
176,,1923,309,sealing wax,Resin,,seal,,fragment,1,0.1,good,tiny flake from a seal,1100,1100,S9.1,Floor,FALSE,1740,1800,Living Quarters,1750-1810,60,0.5
149,,1653,335,sealing wax,Resin,,seal?,,fragment,1,0.2,poor,small disc of sealing was with ?finger prints on both sides - as if squeeed between fingers,1227,39,S8.2,Floor,FALSE,1750,1800,Children's Quarters/Private Chambers,1750-1810,50,0.6
35,,3129,344,bone/horn,Bone,,handle?,"81mm L, 26x12",fragment,1,27.4,moderate,split long bone/antler with polished ends and one longitudinal edge polished; 'polish' may be indicative of splitting while bone is still fresh? Possible handle,329,329,S5.6,Wall,FALSE,1830,1890,Workshop/Flour Mill,1810-1900,60,0.5
178,,2067,350,sealing wax,Resin,,seal,,fragment,3,,good,edge of seal impression with motif,709,443,S5.4,Floor,FALSE,1780,1800,Pantry/Study & Library,1780-1810,20,1.5
145,,2472,352,wax/resin?,Resin,,wax tablet?,29x26x12mm,fragment,1,,,squarish fragment from a thick board/plate - material unidentified but feels waxy and has greenish colour,738,733,S20.3,Floor,FALSE,1750,1760,School Dormitory,1750-1780,10,3
177,,1994,374,sealing wax,Resin,,seal,,fragment,1,0.1,good,small frag of sealing wax from a seal,1298,39,S8.2,Floor,FALSE,1750,1800,Children's Quarters/Private Chambers,1750-1810,50,0.6
49,,2367,377,horn,Bone,fish prob,horn core?,,fragment,1,,,poss horn core,436,733,S20.1,Floor,TRUE,1650,1690,School Dormitory,1630-1690,40,0.75
46,,2023,379,fish bone,Bone,fish prob,fish bone,,,1,,,chinese hat/eye bone',709,443,S5.4,Floor,FALSE,1780,1800,Pantry/Study & Library,1780-1810,20,1.5
50,,2524,424,horn,Bone,,spoon,50mm thick,fragment,1,,,"fragment of spoon bowl disc, c. 50mm diam",436,733,S20.1,Floor,TRUE,1650,1690,School Dormitory,1630-1690,40,0.75
103,4,3481,424,glass,Glass,,sequin/counter,"24mm diam, 2mm thick",complete,1,3.13,good but with moderate-heavy patina,"re-worked from vessel glass, edge chipped; circular disc; sequin or gaming counter; blue-green",436,733,S20.1,Floor,TRUE,1650,1690,School Dormitory,1630-1690,40,0.75
150,,2087,433,sealing wax,Resin,,seal?,,fragment,1,0.1,poor,"tiny flakes of wax, prob from a seal",412,443,S5.4,Sill plate,FALSE,1780,1800,Pantry/Study & Library,1780-1810,20,1.5
105,3,2419,441,glass,Glass,,sequin/counter,"17mm diameter, 1mm thick",complete,1,1.07,good but with moderate patina and some scratches,"probably re-worked from window glass, edge chipped. Circular disc. Sequin or gaming counter; light green",436,733,S20.1,Floor,TRUE,1650,1690,School Dormitory,1630-1690,40,0.75
16,,2438,444,bone,Bone,,splinter,,fragment,2,,,surface flakes from burnt or weather bone,435,733,S20.2,Floor,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
11,,2382,476,bone,Bone,prob haddock cleithrum,handle,"59mm L, 17mm w, 10mm th",fragment,1,,,"carved, decorative handle, prob for knife/fork - whittle tang; butt end only",435,733,S20.2,Floor,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
45,,2467,488,bone/horn,Bone,,unidentified,,fragment,1,,,fibrous material - splintered bone?,435,733,S20.2,Floor,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
179,,2266,508,sealing wax,Resin,,seal,,fragment,1,0.1,good,small frag of sealing wax from a seal,329,329,S5.6,Wall,FALSE,1830,1890,Pantry/Study & Library,1810-1900,60,0.5
66,563,2614,547,ivory?,Bone,prob haddock cleithrum,gaming figure,"15mm L, 11.5mm diam",almost complete,1,,,"Probably same type as ID 558 and 559, but more decayed. Round drum/cylindrical base, 1 cm in diameter, with a 0,45 cm hole bored up into it,  top by a smaller carved finial - King/Queen type, but very small. Looks like wood (contra ÓE).",435,733,S20.2,Floor,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
170,85,18296,548,sealing wax,Resin,,seal,3mm,fragment,16,0.1,good,tiny frags; from sample no.43,799,989,S4.3,Floor,FALSE,1780,1800,Lodge/Dining Room & Chambers,1780-1810,20,1.5
136,113,18303,548,paint,Plastic,,paint,10mm,fragment,1,0.01,good,pale grey paint flake,80,80,S20.4,Floor,FALSE,1760,1770,School Dormitory,1750-1780,10,3
219,,2773,550,stone,Stone,,NAT,,gravel,1,,,tiny gravel; discarded,435,733,S20.2,Floor,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
53,,2653,571,bone,Bone,fish - un modified?,spoon?,"49mmL, 1mm th",fragment,1,1.2,good,curved edge and slightly concave - frag of poss spoon bowl from wood or horn,436,733,S20.1,Floor,TRUE,1650,1690,School Dormitory,1630-1690,40,0.75
129,,2729,582,paper?,Paper,,?text,12x10,fragment,1,,good,"white ?paper with black ?handwritten lettering; Series of vertical strokes, shows through on both sides",583,583,S15.3,Wall,FALSE,1800,1800,Wheystore,1780-1810,1,30
140,,0,588,leather?,Leather,,shoe?,53x53x20mm,fragment,1,,,irreg polygonal shaped thick plate - poss shoe rubber?,,,,,FALSE,,,,,,
122,,2874,603,soil,Natural,,NAT,,fragment,1,,,lump of soil with poss wood fibres and slag? Frag; discarded,1257,1257,C.4,Midden,FALSE,1850,1890,Courtyard,1840-1900,40,0.75
218,,2745,605,jasper,Stone,,chip,,fragment,1,,,red jasper,436,733,S20.1,Floor,TRUE,1650,1690,School Dormitory,1630-1690,40,0.75
96,5,3354,642,glass,Glass,,ring/necklace setting,"12mm diameter, 5mm thick",complete,1,1.28,good but with patina,"rose-cut shape; nice even facets, but edges roughly chipped; colourless",435,733,S20.2,Floor,TRUE,1690,1750,School Dormitory,1690-1750,60,0.5
193,82,18276,662,sealing wax,Resin,,stick?,5mm,fragment,1,0.01,good,small chip; from sample no.59,583,583,S15.3,Roof,FALSE,1800,1800,Wheystore,1780-1810,1,30
100,121,9132,766,glass,Glass,,ring/pendant setting,"8mm diam, 4mm thick",complete,1,0.45,good,brilliant cut; edges roughly chipped; blue,679,989,S4.2,Drain,TRUE,1760,1780,Lodge/Dining Room & Chambers,1750-1780,20,1.5
70,c,4460,772,tooth,Bone,,sheep tooth,,complete,1,,,sheep tooth,329,329,S5.5,Wall,FALSE,1800,1830,Pantry/Study & Library,1780-1840,30,1
211,20,6463,786,sealing wax?,Resin,,uncertain,<1mm,fragment,1,0.01,crumbly,"tiny fragment - possible sealing wax, very dried out",784,751,S13.2,Drain,TRUE,1760,1800,Main Corridor,1750-1810,40,0.75
29,,4323,803,bone,Bone,bone,unidentified,68x12x6,fragment,1,4.3,moderate,"corroded bone - poss worked, but could just be a rib",1284,989,S4.1,Floor,FALSE,1720,1760,Lodge/Dining Room & Chambers,1720-1780,40,0.75
224,16,6465,810,volcanic stone,Stone,,gravel - modern contaminant,,,1,0.24,,small rauðamöl ('red gravel') - probably contamination as this was used to backfill/infill parts of the site during the excavation.,784,751,S13.2,Drain,TRUE,1760,1800,Main Corridor,1750-1810,40,0.75
19,a,4477,860,bone,Bone,,splinter,,fragment,1,,,long bone,1257,1257,C.4,Midden,FALSE,1850,1890,Courtyard,1840-1900,40,0.75
61,30,5991,882,iron/bone,Bone,,handle,,Fragment,,,Very poor,whittle tang with frag remains of ?bone handle and 1 copper alloy rivet; wedge shaped; prob knife/fork handle,127,127,S30.3,Wall,FALSE,1740,1750,School Master's House,1720-1750,10,3
144,25,6477,895,red tar paper,Paper,,building paper,"17mm, 1mm thick",fragment,1,0.11,good,small fragment of probable red roisin tar paper; post c. 1850,894,878,S21.1,Floor,TRUE,1650,1690,School Room,1630-1690,40,0.75
186,31,6478,895,sealing wax,Resin,,stick,8mm,fragment,1,0.22,dried out a little,small lump - prob from a stick,894,878,S21.1,Floor,TRUE,1650,1690,School Room,1630-1690,40,0.75
156,26,6489,952,sealing wax,Resin,,seal,12mm,fragment,1,0.15,very good,edge of seal,932,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
123,,4667,953,Intestine?,Organic,,window?,,fragment,1,0.3,good,"flattened, skin/hide of some sort or mushroom skin?",932,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
157,30,6488,953,sealing wax,Resin,,seal,12mm,fragment,1,0.22,good,impression on surface - illegible,932,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
41,,3614,954,bone/horn,Bone,bone,screw lid,"15mm diam, 10mm high",complete,1,,,small lid/finial with int screw thrread for capping a narrow object (7mm diam); poss for needle case or similar,932,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
229,9,6492,954,wax?,wax,,candle?,c.12mm,fragment,1,0.32,uncertain,small lump - very waxy/greasy texture; poss candle wax? Needs to be analysed,932,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
216,8,6493,954,mother of pearl/shell,Shell,,sequin/counter,"19mm diameter, 1mm thick",complete,1,0.57,"good, but now split longitudinally into three plates/layers","disc - condition probably deteriorating, sequin or counter",932,1200,S5.3,Floor,FALSE,1760,1780,Dining Room,1750-1780,20,1.5
180,11,6495,956,sealing wax,Resin,,seal,"14mm, largest",fragment,5,0.64,good,fragment of seal with clear impression - eagle/bird feet and other motifs; amazingly good condition; orange red colour,932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
168,83,18261,956,sealing wax,Resin,,seal,5mm,fragment,4,0.01,good,tiny frags with impression; from sample no. 81,932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
169,84,18262,958,sealing wax,Resin,,seal,8mm,fragment,1,0.06,good,"small, edge of seal; from sample no.85",932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
155,24,6499,961,sealing wax,Resin,,seal,11mm,fragment,1,0.3,good,small edge of seal probably,932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
26,18,6500,962,bone,Bone,,human tooth,,complete,1,0.57,good,See Hildur Report,932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
101,12,6501,965,glass,Glass,,ring/pendant setting,"11mm diam, 7mm thick",complete,1,1.3,very good,"brilliant-cut, circular; nice even facets; poss lead crystal - feels heavy; colourless",932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
124,,4666,967,Intestine?,Organic,,window?,,fragment,3,0.4,good,"flattened, skin/hide of some sort or mushroom skin?",932,1200,S5.3,Floor,TRUE,1760,1780,Dining Room,1750-1780,20,1.5
36,266,4354,988,bone/horn,Bone,,gaming figure,"31mm diam, 12mm thick",complete,2,,,Missing context no. Two notches cut into one end at an angle so as to create four nodules. Prob a castle.,901,901,S30.1,Floor,TRUE,1670,1720,School Master's House,1660-1720,50,0.6
185,23,6507,988,sealing wax,Resin,,stick,"10mm long, 8mm wide, 5mm thick",fragment,1,0.33,"good, but dried",end/tip of wax stick,901,901,S30.1,Floor,TRUE,1670,1720,School Master's House,1660-1720,50,0.6
